Country,State (US) -province (CA) -Area WRLD,Type and operator,Field,County,Start date ,"Area, acres",No. Well prod.,No. Well inj.,Pay zone ,Formation,EOR type,EOR short,Porosity perc.,"Permeability, md","Depth, ft M21","Gravity, API","Oil, cp",Satur. perc. start,Satur. perc. end,"Oil, gradesF",Prev. Prod. ,Proj- matur. ,"tot. Prod., b-d","enh. Prod., b-d",Proj- eval. ,Profit,proj scope
USA,ocs,ExxonMobil,South Pass Blok,,1989,20,3,3,Xseries,s,HC MISCIBLE,HC MISCIBLE,26,1000,11000,38,1,,,165,Prim.,NC,200,200,Succ.,Yes,RW
USA,Alas.,ConocoPhillips,Kuparuk River,,1996,70000,350,260,Kuparuk A&C,s,HC MISCIBLE,HC MISCIBLE,24,275,6000,24,2,75,,160,WF/HC,JS,140000,33000,Succ.,Yes,Exp. L
USA,Alas.,ConocoPhillips,Tam,,1998,2.4,29,11,Bermuda,s,HC MISCIBLE,HC MISCIBLE,21,20,5200,37,0.6,65,,142,None,JS,22000,,Succ.,Yes,RW
USA,Alas.,ConocoPhillips,Alpine,,2000,40000,25,22,Alpine,s,HC MISCIBLE,HC MISCIBLE,19,20,7000,40,0.45,80,,160,None,JS,95000,,Prom.,Yes,Exp. L
USA,Alas.,BP Alaska  ,Milne Point,,1995,20000,100,90,Kuparuk River,s,HC INMISCIBLE,HC MISCIBLE,22,40,7000,22,4,75,,170,WF,,20000,2000,Succ.,,FW
USA,Tex.,ExxonMobil,Hawkins,Wood,1987,2800,27,6,Woodbine,s,NITROGEN INMISCIBLE,STEAM,28,2800,4600,16,25,,,168,,NC,1500,1000,Succ.,Yes,RW
USA,Tex.,ExxonMobil,Hawkins,Wood,1994,7790,267,20,Woodbine,s,NITROGEN INMISCIBLE,STEAM,28,2800,4600,24,4,,,168,,JS,9000,3000,Prom.,,RW
USA,Calif.,Occidental,Elk Hills,Kem,2005,10000,800,60,SubScalez,s,NITROGEN INMISCIBLE,STEAM,28,1500,3,20,20,60,10,130,"Prim.,GI",HF,15000,4000,Succ.,Yes,FW
USA,Okla.,Cano,Delaware-Childers,Nowata,2006,20,,,Bartlesville,,"Chemical, polymer, surfactant",CHEMICAL,,,625,32,,,,,,,,,,,
USA,Okla.,Chaparral Energy,North Burbank,Osage,2007,480,19,9,Burbank,s,"Chemical, polymer, surfactant",CHEMICAL,16.8,50,2900,39,3,53,51,122,WF,JS,160,70,Succ.,TETT,Phase 1
USA,Tex.,Occidental,Midland Farms Unit,Andrews,2010,40,6,1,Grayburg,Dolo.,"Chemical, polymer, surfactant",CHEMICAL,14,40,4800,34,2.63,50,5,102,WF,JS,32,12,HF,,p
CANADA,Alta.,Apache Canada,Zama-Keg River ,,2004,3840,12,12,Zama-Keg River,Dolo.,Acid gas miscible,CHEMICAL,8,60,4900,36,10.5,40,5,160-176,Prim.,JS,1000,1000,Prom.,Yes,Exp. L
CANADA,Sask.,Apache Canada,Midale,,2005,30483,43,5,Marly & Vuggy,"Dolo., LS",CO2 MISCIBLE,CO2,16.3,7.5,4600,30,3,45,,149,WF,JS,5900,,Prom.,Yes,FW
